Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
2/25/2015,05:00,2.81,14.39,2.52,3.41,5.12,1.87,,,2.96,46.14,20.19,77.14,7.08,1009.05,0.02,
10/20/2016,01:00,7.17,16.8,1.92,2.48,1.41,5.41,69.51,165.19,0.45,50.86,26.97,74.86,8.09,1004.34,,
4/18/2014,15:00,0.98,4.53,2.29,2.37,37.35,25.96,55.93,102.16,4.6,200.69,35.3,45.1,605.1,,0.03,
11/07/2018,15:00,3.36,5.38,,,,,39.9,80.21,1.31,108.54,29.18,43.77,410.08,1012.11,,
4/19/2018,21:00,4.49,10.17,,,,,47.97,89.38,0.45,92.95,24.62,86.95,7.63,1005.21,0.03,
01/02/2015,18:00,4.98,14.94,1.95,1.67,8.8,13.66,65.16,,1.21,256.67,25.9,63.1,10.36,1012.94,,
7/16/2018,12:00,4.46,6.12,,,,,,25.06,0.56,89.48,32.13,64.77,924.13,1000.05,,
11/16/2013,24:00:00,15.63,18.77,3.22,3.37,4.49,7.66,,204.63,2.88,42.07,23.02,64.44,7.22,,,
4/15/2016,21:00,53.9,11.15,0.89,0.83,25.35,23.73,35.92,81.49,2.5,35.84,25.87,72.26,7.35,1006.39,0.02,
04/06/2013,16:00,4.84,0.7,2.5,2.75,34.83,22.82,51.03,142.5,6.61,21.43,34.35,,390.01,1082.28,0.01,2.6
5/28/2016,22:00,8.54,18.27,1.07,0.9,3.37,14.11,41.97,85.57,1.24,59.48,25.87,90.8,7.27,1003.11,0.03,
5/31/2018,03:00,2.84,4.24,,,,,8.06,23.0,1.12,76.39,25.17,94.36,7.71,1003.54,,
01/03/2015,23:00,27.97,26.59,2.35,,0.45,,76.38,167.39,1.39,60.93,24.14,71.9,7.36,1012.9,,
08/11/2016,13:00,2.67,6.98,1.01,0.95,13.57,7.92,14.0,45.1,2.31,312.33,32.25,65.0,471.14,1001.9,0.02,
5/22/2017,16:00,3.0,6.09,,,24.52,34.39,24.72,39.15,0.84,65.45,28.09,78.51,181.02,1002.8,,
17/02/2018,17:00,2.07,5.71,,,,,59.27,127.51,1.17,239.11,26.61,47.64,135.21,1007.91,,
7/19/2018,04:00,5.26,4.37,,,,,20.0,66.0,0.46,107.47,29.79,85.48,7.85,998.19,,
04/08/2014,20:00,3.53,16.1,3.13,2.58,8.49,9.4,61.86,151.31,5.69,46.48,29.13,65.71,6.44,,0.03,
02/02/2015,21:00,2.86,28.92,3.08,2.4,9.32,24.38,122.47,190.51,0.76,260.22,19.9,62.75,7.78,1017.72,,
7/25/2014,12:00,2.75,7.3,1.03,1.03,14.89,9.73,4.97,15.28,2.67,,31.46,67.71,878.35,1002.49,0.02,
5/28/2013,15:00,,,3.18,3.23,10.58,7.09,16.97,36.87,3.34,59.37,32.72,65.5,725.9,1079.94,0.02,1.55
04/03/2019,18:00,3.42,26.99,0.9,0.65,35.54,46.4,77.58,,0.48,210.72,24.44,53.52,36.92,1006.41,0.03,
02/12/2013,18:00,62.84,4.98,1.43,1.47,,22.1,36.0,86.0,3.02,50.65,26.69,44.84,22.87,1091.45,,1.26
06/05/2019,13:00,4.84,10.54,0.38,0.32,28.96,28.98,32.0,60.0,1.02,71.54,29.61,74.34,793.39,1005.97,,
9/19/2018,05:00,1.22,10.63,,,,,59.42,108.59,1.2,53.64,28.64,86.84,7.7,1002.58,,
13/03/2017,09:00,3.75,0.69,,6.26,,,,130.04,0.44,182.33,22.23,67.25,512.95,1014.01,,
3/29/2016,08:00,5.51,6.49,0.68,0.66,16.85,14.88,,,3.55,94.2,20.84,86.56,275.93,1013.13,0.03,
03/05/2014,18:00,0.19,9.09,1.88,1.97,26.03,27.42,41.97,113.09,4.07,222.92,26.71,37.74,51.03,,0.03,
12/07/2015,20:00,221.96,47.0,3.04,3.03,0.73,14.2,81.75,199.47,0.58,90.95,22.48,70.2,7.73,1013.14,,
8/29/2018,13:00,4.54,5.44,,,8.01,4.7,5.97,38.87,3.68,158.89,29.98,72.62,631.38,1004.11,0.04,
16/02/2016,22:00,,,5.02,5.01,0.42,,,,0.73,25.93,22.27,76.2,7.61,1015.47,,
12/09/2016,21:00,90.62,31.53,6.38,4.26,0.62,12.38,240.96,511.06,0.28,318.93,20.51,78.14,8.05,1010.12,,
5/28/2017,12:00,2.72,2.89,,,,,29.91,73.94,1.49,111.34,33.81,56.76,942.59,1001.77,,
28/01/2018,03:00,13.11,11.94,,,,,195.65,289.34,0.44,135.51,13.45,93.18,7.94,1011.12,,
01/06/2014,12:00,51.36,4.64,0.97,1.03,13.98,8.1,,,1.79,78.06,20.93,78.26,450.23,,,
5/25/2016,18:00,1.54,11.09,0.62,0.46,41.04,42.27,,,2.48,356.98,30.41,68.26,40.25,996.76,0.02,
11/17/2015,20:00,82.9,33.58,6.24,4.38,0.35,15.19,171.52,302.59,0.97,62.97,24.59,79.26,8.0,1011.39,,
2/17/2015,05:00,0.2,16.53,2.58,3.84,5.84,2.24,117.53,183.0,2.75,44.6,16.23,78.64,7.33,1011.68,0.02,
29/03/2017,19:00,5.84,13.07,,,2.69,4.61,49.83,68.84,3.32,40.62,22.96,92.15,7.1,1005.78,5.22,
09/05/2019,16:00,4.97,7.97,0.37,0.3,26.68,25.73,47.83,112.92,0.88,138.1,33.32,63.39,387.7,1000.19,0.03,
7/20/2014,17:00,4.6,9.03,1.06,1.05,11.84,11.15,9.06,53.38,4.28,,34.63,56.0,324.93,992.52,0.02,
8/24/2016,21:00,3.1,14.0,1.7,1.37,10.74,28.75,41.19,107.91,0.76,254.88,31.21,79.5,7.83,1000.92,,
23/03/2019,06:00,4.66,7.89,0.13,0.19,7.52,9.26,28.0,46.11,1.49,62.51,20.56,91.81,8.34,1010.08,0.05,
08/11/2015,12:00,6.91,4.33,8.04,8.01,1.08,0.42,14.94,47.73,3.14,112.74,32.21,63.82,650.34,1004.52,0.02,
9/24/2013,22:00,20.64,17.1,2.32,2.09,3.6,6.76,90.73,185.14,1.19,65.91,29.82,84.32,7.82,1085.23,0.01,1.08
2/15/2013,09:00,5.57,11.16,1.65,2.06,22.21,8.9,78.17,135.66,4.37,199.04,20.66,62.0,339.77,1096.92,,1.43
8/23/2016,18:00,3.41,9.85,1.32,1.18,17.52,21.37,30.03,81.66,1.04,246.86,31.06,71.65,52.77,1001.47,,
11/12/2013,02:00,,6.37,1.94,2.89,5.79,6.89,32.68,57.92,2.73,40.19,22.02,84.78,7.21,,,
08/10/2014,09:00,4.73,9.71,1.28,1.25,10.3,7.94,20.89,37.28,4.72,138.75,28.47,75.9,199.79,1004.8,0.02,
1/16/2013,09:00,4.13,5.68,0.9,1.51,5.57,2.42,,,4.41,201.57,16.62,73.28,240.81,,0.03,1.42
08/02/2018,24:00:00,5.9,9.04,,,4.08,4.07,27.06,53.84,0.95,47.45,25.19,94.36,7.46,1002.91,0.06,
26/02/2018,08:00,2.18,6.25,,,,,35.39,58.06,1.08,43.68,18.59,93.51,27.18,1014.21,0.84,
11/06/2015,13:00,5.64,7.38,1.81,1.85,21.22,11.32,26.0,66.88,1.88,44.66,27.75,59.89,671.37,1011.38,0.02,
15/03/2018,15:00,1.64,4.65,,,,,56.08,117.06,0.93,178.54,29.6,59.08,460.25,1006.21,0.02,
10/04/2013,01:00,,,0.96,1.34,3.82,6.97,19.0,52.0,3.04,348.52,27.05,88.7,7.21,1090.11,0.01,1.38
12/27/2012,19:00,3.17,5.53,6.74,6.37,6.79,11.79,99.2,161.88,2.59,37.26,17.0,87.63,7.71,1092.55,0.01,1.33
19/02/2016,23:00,,,5.08,5.06,0.47,,,,1.15,68.37,23.61,75.46,7.89,1012.33,,
4/22/2015,06:00,,5.82,3.02,3.12,2.25,0.79,5.0,12.06,5.35,62.2,20.31,92.74,10.13,1003.06,0.15,
4/25/2017,02:00,2.75,2.85,,,,,15.82,40.38,2.16,56.06,21.32,97.77,7.44,1004.76,0.54,
10/30/2013,11:00,0.22,6.97,1.67,1.58,12.23,10.39,48.91,83.84,4.88,71.53,27.99,67.5,672.68,1097.07,0.03,1.89
04/12/2014,17:00,1.11,18.61,3.68,2.45,19.7,29.72,51.21,,1.94,209.98,32.9,46.64,27.29,,,
2/26/2014,07:00,,13.81,2.29,2.81,3.31,2.37,103.27,152.25,3.88,38.43,17.53,83.7,34.21,,0.03,
11/16/2018,04:00,,,0.28,1.12,2.96,3.03,34.88,61.91,0.51,59.61,21.06,84.66,7.67,1011.38,0.03,
